x,y
-119.4774264,49.88348343
-119.477357,49.88348085
-119.4772875,49.88347827
-119.477218,49.88347569
-119.4771486,49.88347311
-119.4770791,49.88347052
-119.4770098,49.88346693
-119.4769408,49.88346131
-119.4768716,49.88345677
-119.4768022,49.88345319
-119.4767329,49.88344961
-119.4766635,49.88344603
-119.4765942,49.88344245
-119.4765248,49.88343888
-119.4764555,49.8834353
-119.4763861,49.88343172
-119.4763168,49.88342814
-119.4762474,49.88342456
-119.4761781,49.88342098
-119.4761087,49.8834174
-119.4760394,49.88341382
-119.47597,49.88341025
-119.4759007,49.88340667
-119.4758313,49.88340309
-119.475762,49.88339951
-119.4756926,49.88339593
-119.4756233,49.88339235
-119.4755539,49.88338877
-119.4754846,49.88338519
-119.4754152,49.88338161
-119.4753459,49.88337803
-119.4752765,49.88337445
-119.4752072,49.88337088
-119.4751378,49.8833673
-119.4750685,49.88336372
-119.4749991,49.88336014
-119.4749298,49.88335656
-119.4748604,49.88335298
-119.4747912,49.88334887
-119.4747231,49.88333965
-119.474655,49.88333044
-119.4745869,49.88332122
-119.4745188,49.883312
-119.4744507,49.88330279
-119.4743826,49.88329357
-119.4743145,49.88328435
-119.4742464,49.88327513
-119.4741783,49.88326592
-119.4741102,49.8832567
-119.4740422,49.88324748
-119.4739741,49.88323826
-119.473906,49.88322904
-119.4738379,49.88321983
-119.4737698,49.88321061
-119.4737017,49.88320139
-119.4736336,49.88319217
-119.4735655,49.88318296
-119.4734974,49.88317374
-119.4734293,49.88316452
-119.4733626,49.88315174
-119.4732961,49.88313866
-119.4732295,49.88312559
-119.4731629,49.88311252
-119.4730964,49.88309944
-119.4730298,49.88308637
-119.4729632,49.8830733
-119.4728967,49.88306022
-119.4728301,49.88304715
-119.4727636,49.88303408
-119.472697,49.883021
-119.4726304,49.88300793
-119.4725652,49.88299236
-119.4725009,49.88297523
-119.4724366,49.8829581
-119.4723723,49.88294097
-119.472308,49.88292383
-119.4722436,49.8829067
-119.4721793,49.88288957
-119.472115,49.88287244
-119.4720507,49.8828553
-119.4719864,49.88283817
-119.471922,49.88282104
-119.4718577,49.88280391
-119.4717934,49.88278678
-119.4717291,49.88276964
-119.4716647,49.88275251
-119.4716004,49.88273538
-119.4715361,49.88271825
-119.4714718,49.88270111
-119.4714075,49.88268398
-119.4713431,49.88266685
-119.4712788,49.88264971
-119.4712145,49.88263258
-119.4711502,49.88261545
-119.4710859,49.88259832
-119.4710215,49.88258118
-119.4709572,49.88256405
-119.4708929,49.88254692
-119.4708286,49.88252978
-119.4707643,49.88251265
-119.4706999,49.88249552
-119.4706356,49.88247839
-119.4705713,49.88246125
-119.470507,49.88244412
-119.4704427,49.88242699
-119.4703784,49.88240985
-119.470314,49.88239272
-119.4702497,49.88237559
-119.4701854,49.88235845
-119.4701211,49.88234132
-119.4700568,49.88232419
-119.469991,49.8823095
-119.4699251,49.88229522
-119.4698591,49.88228095
-119.4697931,49.88226667
-119.4697272,49.88225239
-119.4696612,49.88223811
-119.4695952,49.88222383
-119.4695292,49.88220955
-119.4694633,49.88219527
-119.4693973,49.88218099
-119.4693313,49.88216671
-119.4692654,49.88215244
-119.4691994,49.88213816
-119.4691334,49.88212388
-119.4690675,49.8821096
-119.4690015,49.88209532
-119.4689355,49.88208104
-119.4688696,49.88206676
-119.4688008,49.88206038
-119.4687318,49.88205447
-119.4686628,49.88204856
-119.4685939,49.88204265
-119.4685249,49.88203674
-119.4684559,49.88203082
-119.468387,49.88202491
-119.468318,49.882019
-119.4682491,49.88201309
-119.4681801,49.88200717
-119.4681111,49.88200126
-119.4680422,49.88199535
-119.4679732,49.88198944
-119.4679042,49.88198352
-119.4678353,49.88197761
-119.4677663,49.8819717
-119.4676973,49.88196578
-119.4676284,49.88195987
-119.4675594,49.88195396
-119.4674904,49.88194805
-119.4674215,49.88194213
-119.4673525,49.88193622
-119.4672835,49.88193031
-119.4672146,49.88192439
-119.4671456,49.88191848
-119.4670766,49.88191257
-119.4670077,49.88190665
-119.4669386,49.88190138
-119.4668691,49.88189932
-119.4667996,49.88189726
-119.4667301,49.88189519
-119.4666606,49.88189313
-119.4665911,49.88189107
-119.4665216,49.88188901
-119.4664521,49.88188694
-119.4663826,49.88188488
-119.4663131,49.88188282
-119.4662437,49.88188075
-119.4661742,49.88187869
-119.4661047,49.88187663
-119.4660352,49.88187456
-119.4659657,49.8818725
-119.4658962,49.88187044
-119.4658267,49.88186837
-119.4657572,49.88186705
-119.4656876,49.88186707
-119.465618,49.8818671
-119.4655484,49.88186713
-119.4654789,49.88186716
-119.4654093,49.88186719
-119.4653397,49.88186722
-119.4652702,49.88186725
-119.4652006,49.88186727
-119.465131,49.8818673
-119.4650615,49.88186733
-119.4649919,49.88186736
-119.4649223,49.88186739
-119.4648527,49.88186742
-119.4647832,49.88186744
-119.4647136,49.88186747
-119.464644,49.8818675
-119.4645745,49.88186753
-119.4645049,49.88186756
-119.4644353,49.88186759
-119.4643658,49.88186761
-119.4642962,49.88186764
-119.4642266,49.88186767
-119.464157,49.8818677
-119.4640875,49.88186772
-119.4640179,49.88186775
-119.4639483,49.88186778
-119.4638788,49.88186781
-119.4638092,49.88186784
-119.4637396,49.88186786
-119.4636701,49.88186789
-119.4636005,49.88186792
-119.4635309,49.88186795
-119.4634613,49.88186797
-119.4633918,49.881868
-119.4633222,49.88186803
-119.4632526,49.88186806
-119.4631831,49.88186808
-119.4631135,49.88186811
-119.4630439,49.88186814
-119.4629744,49.88186816
-119.4629048,49.88186819
-119.4628352,49.88186802
-119.4627657,49.88186746
-119.4626961,49.88186689
-119.4626265,49.88186633
-119.462557,49.88186577
-119.4624874,49.8818652
